Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
Q5VVQ6	Q5VVQ6	OTU1_HUMAN	YOD1	Ubiquitin thioesterase OTU1
Q5VVQ6;Q5VVQ6-2	Q5VVQ6;Q5VVQ6-2	OTU1_HUMAN	YOD1	Ubiquitin thioesterase OTU1
Q5VVW2;Q5VVW2-5	Q5VVW2;Q5VVW2-2;Q5VVW2-5;A0A0C4DFW0;Q5JS19	GARL3_HUMAN	GARNL3	GTPase-activating Rap/Ran-GAP domain-like protein 3
Q5VW32	Q5VW32;F5GXQ0;Q5VW32-2	BROX_HUMAN	BROX	BRO1 domain-containing protein BROX
Q5VW36	Q5VW36	FOCAD_HUMAN	FOCAD	Focadhesin
Q5VW38;Q5VW38-2;Q5VW38-3	Q5VW38;G5E994;Q5VW38-2;Q5VW38-3;U3KQD2	GP107_HUMAN	GPR107	Protein GPR107
Q5VWC4	P55036;P55036-2;Q5VWC4	Q5VWC4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4
Q5VWJ9	Q5VWJ9	SNX30_HUMAN	SNX30	Sorting nexin-30
Q5VWN6	Q5VWN6;Q5VWN6-2;A0A2R8YH03;A0A8Q3SI68;A0A8Q3SI84;A0A8V8TMM4;A0A8V8TMN1	TASO2_HUMAN	TASOR2	Protein TASOR 2
Q5VWQ0	Q5VWQ0;A0A087WWP8	RSBN1_HUMAN	RSBN1	Lysine-specific demethylase 9
Q5VWQ8;Q5VWQ8-2	Q5VWQ8;Q5VWQ8-2;Q5VWQ8-3;Q5VWQ8-4;Q5VWQ8-5;A0A3B3ITG3;A0A8V8TNA8	DAB2P_HUMAN	DAB2IP	Disabled homolog 2-interacting protein
Q5VWQ8;Q5VWQ8-2;Q9UJF2-2	Q5VWQ8;Q9UJF2;Q5VWQ8-2;Q5VWQ8-3;Q5VWQ8-4;Q5VWQ8-5;Q9UJF2-2;A0A3B3ITG3;A0A8Q3SIU1;A0A8Q3SJF6;A0A8V8TNA8	DAB2P_HUMAN;NGAP_HUMAN	DAB2IP;RASAL2	Disabled homolog 2-interacting protein
Q5VWX1	Q5VWX1;A0A6Q8PGH5	KHDR2_HUMAN	KHDRBS2	KH domain-containing, RNA-binding, signal transduction-associated protein 2
Q5VWZ2	Q5VWZ2;Q5VWZ2-2	LYPL1_HUMAN	LYPLAL1	Lysophospholipase-like protein 1
Q5VYK3	Q5VYK3;J3KN16;A0A804HJA4	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29
Q5VYS8	Q5VYS8;X6R3Q3;Q5VYS8-6	TUT7_HUMAN	TUT7	Terminal uridylyltransferase 7
Q5VYS8;Q5VYS8-2	Q5VYS8;Q5VYS8-2;Q5VYS8-3;Q5VYS8-6;Q5VYT0	TUT7_HUMAN	TUT7	Terminal uridylyltransferase 7
Q5VYS8;Q5VYS8-2;Q5VYS8-4	Q5VYS8;Q5VYS8-5;Q5VYS8-2;Q5VYS8-3;Q5VYS8-4;Q5VYS8-6;Q5VYS9	TUT7_HUMAN	TUT7	Terminal uridylyltransferase 7
Q5VYS8;Q5VYS8-4	Q5VYS8;X6R3Q3;Q5VYS8-4;Q5VYS8-6	TUT7_HUMAN	TUT7	Terminal uridylyltransferase 7
Q5VYX0;Q5VYX0-2	Q5VYX0;Q5VYX0-2	RNLS_HUMAN	RNLS	Renalase
Q5VYY1	Q5VYY1	ANR22_HUMAN	ANKRD22	Ankyrin repeat domain-containing protein 22
Q5VZ89-7	Q5VZ89;Q5VZ89-3;Q5VZ89-5;Q5VZ89-7;R4GMN2	DEN4C_HUMAN	DENND4C	Isoform 2 of DENN domain-containing protein 4C
Q5VZE5	Q5VZE5	NAA35_HUMAN	NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit
Q5VZF2;Q5VZF2-2;Q5VZF2-3;Q9NR56	Q5VZF2;Q9NR56;A0A0A0MQX8;C9JCX1;C9JP00;H7C4T5;H7C4Y1;Q5VZF2-2;Q5VZF2-3;Q86VM6;Q9NR56-2;Q9NR56-3;Q9NR56-4;Q9NR56-5;Q9NR56-6;Q9NR56-7;A0A7P0T9I3;A0A994J506;A0A994J509;O95205	MBNL1_HUMAN;MBNL2_HUMAN	MBNL1;MBNL2	Muscleblind-like protein 2
Q5VZK9	Q5VZK9;Q5VZK9-2;Q5VZK9-3;A0A8V8TRE2	CARL1_HUMAN	CARMIL1	F-actin-uncapping protein LRRC16A
Q5VZL5	Q5VZL5;Q5VZL5-2;Q5VZL5-4	ZMYM4_HUMAN	ZMYM4	Zinc finger MYM-type protein 4
Q5VZM2	Q5VZM2;Q5VZM2-2	RRAGB_HUMAN	RRAGB	Ras-related GTP-binding protein B
Q5VZM2;Q7L523	Q5VZM2;Q7L523;Q5VZM0;Q5VZM2-2	RRAGA_HUMAN;RRAGB_HUMAN	RRAGA;RRAGB	Ras-related GTP-binding protein B
Q5VZU9	P29144;A0A494C0U1;A0A494C1B8;Q5VZU9;A0A494C0X4;A0A494C1S4	Q5VZU9_HUMAN	TPP2	Tripeptidyl-peptidase 2
Q5W041;Q5W041-4	Q5W041;Q5W041-4;B4DXS3	ARMC3_HUMAN	ARMC3	Armadillo repeat-containing protein 3
Q5W0U4	Q5W0U4;Q5W0U4-2	BSPRY_HUMAN	BSPRY	B box and SPRY domain-containing protein
Q5W0V3	Q5W0V3;Q5W0V3-2	FHI2A_HUMAN	FHIP2A	FHF complex subunit HOOK interacting protein 2A
Q5W0V3;Q86V87	Q5W0V3;Q86V87	FHI2A_HUMAN;FHI2B_HUMAN	FHIP2A;FHIP2B	FHF complex subunit HOOK interacting protein 2A
Q5W111	Q5W111;Q5W111-2	SPRY7_HUMAN	SPRYD7	SPRY domain-containing protein 7
Q5XPI4	Q5XPI4;Q5XPI4-2;C9J266;C9JS59	RN123_HUMAN	RNF123	E3 ubiquitin-protein ligase RNF123
Q5XUX1	Q5XUX1;K7EL01;Q5XUX1-2	FBXW9_HUMAN	FBXW9	F-box/WD repeat-containing protein 9
Q5XXA6;Q5XXA6-3;Q5XXA6-5	Q5XXA6;Q5XXA6-4;Q5XXA6-5;E9PP68;Q5XXA6-3	ANO1_HUMAN	ANO1	Anoctamin-1
Q5XXA6;Q5XXA6-5	Q5XXA6;Q5XXA6-4;Q5XXA6-5;E9PP68	ANO1_HUMAN	ANO1	Anoctamin-1
Q5Y7H0	P01903;P01906;A0A0G2JH46;A0A0G2JMH6;A0A140TA34;Q08AS3;Q30118;Q5Y7H0;A0A1W2PP70	Q5Y7H0_HUMAN	HLA-DQA1	HLA class II histocompatibility antigen DQ alpha chain
Q5ZPR3;Q5ZPR3-4	Q5ZPR3;Q5ZPR3-2;Q5ZPR3-3;Q5ZPR3-4;A0A0C4DGH0;H0YL10;H0YN29	CD276_HUMAN	CD276	CD276 antigen
Q63HM1;Q63HM1-2	Q63HM1;Q63HM1-2	KFA_HUMAN	AFMID	Kynurenine formamidase
Q63HM9	Q63HM9	PLCX3_HUMAN	PLCXD3	PI-PLC X domain-containing protein 3
Q63HN8	Q63HN8;Q63HN8-4;A0A0A0MTC1;A0A0A0MTR7	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213
Q63HQ2-2	Q63HQ2;Q63HQ2-2	EGFLA_HUMAN	EGFLAM	Isoform 2 of Pikachurin
Q63HR2;Q63HR2-4;Q63HR2-6	Q63HR2;Q63HR2-2;Q63HR2-4;Q63HR2-5;Q63HR2-6;F8VV64	TENS2_HUMAN	TNS2	Tensin-2
Q63HR2;Q63HR2-4;Q63HR2-6;Q68CZ2;Q9HBL0	Q63HR2;Q68CZ2;Q9HBL0;A0A2R8Y4T1;A0A494C067;E9PCX8;Q63HR2-2;Q63HR2-4;Q63HR2-5;Q63HR2-6;Q68CZ2-2;Q9HBL0-1;A0A994J4W0;A0A994J515;A0A994J537;A0A994J7F3;C9JHU5;E9PF55;E9PGF5;F8VV64;H0Y4U1	TENS1_HUMAN;TENS2_HUMAN;TENS3_HUMAN	TNS1;TNS2;TNS3	Tensin-2
Q63ZY3;Q63ZY3-3	Q63ZY3;Q63ZY3-2;Q63ZY3-3;K7EIU4	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2
Q641Q2	Q641Q2;A0A087WYF6;E7ESD2;F8W7U3;Q641Q2-2	WAC2A_HUMAN	WASHC2A	WASH complex subunit 2A
Q641Q2;Q9Y4E1-3	Q641Q2;Q9Y4E1;A0A0A0MT65;E7ESD2;F8W7U3;J3KP36;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-6;Q641Q2-2	WAC2A_HUMAN;WAC2C_HUMAN	WASHC2A;WASHC2C	WASH complex subunit 2A
Q641Q2;Q9Y4E1-3;Q9Y4E1-5	Q641Q2;Q9Y4E1;A0A087WYF6;A0A0A0MT65;E7ESD2;F8W7U3;J3KP36;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-4;Q9Y4E1-5;Q9Y4E1-6;Q641Q2-2	WAC2A_HUMAN;WAC2C_HUMAN	WASHC2A;WASHC2C	WASH complex subunit 2A
Q641Q2;Q9Y4E1-5	Q641Q2;Q9Y4E1;A0A087WYF6;E7ESD2;Q9Y4E1-1;Q9Y4E1-4;Q9Y4E1-5;Q9Y4E1-6;Q5T1D7;Q641Q2-2	WAC2A_HUMAN;WAC2C_HUMAN	WASHC2A;WASHC2C	WASH complex subunit 2A
Q641Q3	Q641Q3;Q641Q3-2	METRL_HUMAN	METRNL	Meteorin-like protein
Q658P3-4	Q658P3;B8ZZX6;Q658P3-2;Q658P3-3;Q658P3-4	STEA3_HUMAN	STEAP3	Isoform 4 of Metalloreductase STEAP3
Q658Y4	Q658Y4;E7ER68;G3V120	F91A1_HUMAN	FAM91A1	Protein FAM91A1
Q659C4	Q659C4;Q659C4-3;Q659C4-9;A0A3B3ISF0;A0A3B3IT29;A0A994J4H9;A0A994J4X5;D6R9W6;G3V0E9;H0Y9K3	LAR1B_HUMAN	LARP1B	La-related protein 1B
Q659C4;Q6PKG0	Q659C4;Q6PKG0;Q659C4-6;Q659C4-2;Q659C4-5;Q659C4-7;A0A3B3ISF0;A0A8I5KSP1;A0A8I5KWU3;A0A994J4X5;Q6PKG0-3	LAR1B_HUMAN;LARP1_HUMAN	LARP1;LARP1B	La-related protein 1B
Q66K14;Q66K14-2	Q66K14;Q66K14-2;H0YB08	TBC9B_HUMAN	TBC1D9B	TBC1 domain family member 9B
Q66K14;Q66K14-2;Q6ZT07	Q66K14;Q6ZT07;Q66K14-2;H0YB08	TBC9B_HUMAN;TBCD9_HUMAN	TBC1D9;TBC1D9B	TBC1 domain family member 9B
Q66K64	Q66K64	DCA15_HUMAN	DCAF15	DDB1- and CUL4-associated factor 15
Q66K74-2	Q66K74;Q66K74-2	MAP1S_HUMAN	MAP1S	Isoform 2 of Microtubule-associated protein 1S
Q66K79;Q66K79-2;Q66K79-3	Q66K79;Q66K79-2;Q66K79-3	CBPZ_HUMAN	CPZ	Carboxypeptidase Z
Q66LE6	Q66LE6;A0A3B3IRK1;H0YB06	2ABD_HUMAN	PPP2R2D	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform
Q66PJ3;Q66PJ3-1	Q66PJ3;Q66PJ3-4;Q66PJ3-1;Q66PJ3-10;Q66PJ3-2;Q66PJ3-3;Q66PJ3-5;Q66PJ3-7;Q66PJ3-9;A0A0C4DG62;A0A0C4DH18;A0A8C8KBE9;F5GYV5;F8WCT1;F8WEP2;H7BZV4	AR6P4_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4
Q674X7	Q674X7;Q674X7-2;A0A1B0GWK2;Q674X7-3;Q674X7-4	KAZRN_HUMAN	KAZN	Kazrin
Q676U5	Q676U5;Q676U5-2;Q676U5-3;E7EVC7	A16L1_HUMAN	ATG16L1	Autophagy-related protein 16-1
Q67FW5	Q67FW5	B3GNL_HUMAN	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1
Q684P5	Q684P5;A0A1B0GV05;Q684P5-2;Q684P5-3;A0A8V8TKZ8;A0A8V8TL16	RPGP2_HUMAN	RAP1GAP2	Rap1 GTPase-activating protein 2
Q687X5	Q687X5;C9JS50;Q687X5-2	STEA4_HUMAN	STEAP4	Metalloreductase STEAP4
Q68BL7;Q68BL7-2	Q68BL7;Q5JTM7;Q68BL7-2;Q68BL7-3	OLM2A_HUMAN	OLFML2A	Olfactomedin-like protein 2A
Q68BL8	Q68BL8;F2Z3N3;Q68BL8-2	OLM2B_HUMAN	OLFML2B	Olfactomedin-like protein 2B
Q68CP9;Q68CP9-3	Q68CP9;F8WCU9;Q68CP9-3	ARID2_HUMAN	ARID2	AT-rich interactive domain-containing protein 2
Q68CQ4	Q68CQ4	UTP25_HUMAN	UTP25	U3 small nucleolar RNA-associated protein 25 homolog
Q68CZ2	Q68CZ2;E9PCX8;Q68CZ2-2;A0A994J537;A0A994J7F3;C9JHU5	TENS3_HUMAN	TNS3	Tensin-3
Q68CZ2;Q68CZ2-4	Q68CZ2;E9PCX8;Q68CZ2-2;Q68CZ2-3;Q68CZ2-4;A0A994J537;C9JHU5	TENS3_HUMAN	TNS3	Tensin-3
Q68CZ2;Q9HBL0	Q68CZ2;Q9HBL0;A0A2R8Y4T1;A0A494C067;E9PCX8;Q68CZ2-2;Q9HBL0-1;A0A994J4W0;A0A994J515;A0A994J537;A0A994J7F3;A0A994J7T8;C9JHU5;E9PF55;E9PGF5;H0Y4U1	TENS1_HUMAN;TENS3_HUMAN	TNS1;TNS3	Tensin-3
Q68CZ6	Q68CZ6;A0A5F9ZHQ7;Q68CZ6-2	HAUS3_HUMAN	HAUS3	HAUS augmin-like complex subunit 3
Q68D06;Q7Z7L1	Q68D06;Q7Z7L1;Q68D06-2	SLN11_HUMAN;SLN13_HUMAN	SLFN11;SLFN13	Schlafen family member 13
Q68D85	Q68D85	NR3L1_HUMAN	NCR3LG1	Natural cytotoxicity triggering receptor 3 ligand 1
Q68DA7-5	Q68DA7-3;Q68DA7-5	FMN1_HUMAN	FMN1	Isoform 5 of Formin-1
Q68DA7;Q68DA7-5	Q68DA7;A0A5F9ZHS8;H0YM30;Q68DA7-5;H0YLM7;H0YMP0	FMN1_HUMAN	FMN1	Formin-1
Q68DH5	Q68DH5	LMBD2_HUMAN	LMBRD2	G-protein coupled receptor-associated protein LMBRD2
Q68DK2	Q68DK2;Q68DK2-5;A0A7I2V403;A0A7I2YQU3;A0A7I2YQV0;G3V2D8;Q68DK2-2;Q68DK2-4;A0A7I2V4E6;A0A7I2V577;G3V230	ZFY26_HUMAN	ZFYVE26	Zinc finger FYVE domain-containing protein 26
Q68DK7	Q68DK7;J3KSZ8;J3QQY0	MSL1_HUMAN	MSL1	Male-specific lethal 1 homolog
Q68DN1	Q68DN1;C9JG08	CB016_HUMAN	C2orf16	Uncharacterized protein C2orf16
Q68DQ2	Q68DQ2	CRBG3_HUMAN	CRYBG3	Very large A-kinase anchor protein
Q68DU8	Q68DU8	KCD16_HUMAN	KCTD16	BTB/POZ domain-containing protein KCTD16
Q68DU8;Q96CX2	Q96CX2;Q68DU8	KCD12_HUMAN;KCD16_HUMAN	KCTD12;KCTD16	BTB/POZ domain-containing protein KCTD16
Q68DY1	Q68DY1;Q68DY1-2	ZN626_HUMAN	ZNF626	Zinc finger protein 626
Q68E01;Q68E01-2	Q68E01;Q68E01-2;Q68E01-3;A0A096LNW8;H0Y8Z1	INT3_HUMAN	INTS3	Integrator complex subunit 3
Q68EM7	Q68EM7;Q68EM7-2;Q68EM7-4;Q68EM7-5;Q68EM7-6;C9IZD3;I3L1S9;I3L4P0	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17
Q69YH5	Q69YH5;E9PEI0	CDCA2_HUMAN	CDCA2	Cell division cycle-associated protein 2
Q69YN2	Q69YN2;Q69YN2-3	C19L1_HUMAN	CWF19L1	CWF19-like protein 1
Q69YN4;Q69YN4-3	Q69YN4;Q69YN4-2;Q69YN4-3;H0YBN5	VIR_HUMAN	VIRMA	Protein virilizer homolog
Q69YQ0;Q69YQ0-2	Q69YQ0;A0A494C1J1;F8WAN1;C9J8U1;Q69YQ0-2	CYTSA_HUMAN	SPECC1L	Cytospin-A
Q6AI08	Q6AI08;K7EIX2	HEAT6_HUMAN	HEATR6	HEAT repeat-containing protein 6
Q6AI12	Q6AI12	ANR40_HUMAN	ANKRD40	Ankyrin repeat domain-containing protein 40
Q6AWC2-6	Q6AWC2;Q6AWC2-2;Q6AWC2-3;Q6AWC2-4;Q6AWC2-6;Q6AWC2-7	WWC2_HUMAN	WWC2	Isoform 6 of Protein WWC2
Q6AZZ1	Q6AZZ1;E9PP83;Q6AZZ1-2	TRI68_HUMAN	TRIM68	E3 ubiquitin-protein ligase TRIM68
Q6B0K9	Q6B0K9	HBM_HUMAN	HBM	Hemoglobin subunit mu
Q6BCY4	Q6BCY4	NB5R2_HUMAN	CYB5R2	NADH-cytochrome b5 reductase 2
Q6BDS2	Q6BDS2	BLT3A_HUMAN	BLTP3A	Bridge-like lipid transfer protein family member 3A
Q6DD87	Q6DD87	ZN787_HUMAN	ZNF787	Zinc finger protein 787
Q6DD88	Q6DD88;F5H6I7	ATLA3_HUMAN	ATL3	Atlastin-3
Q6DHV7;Q6DHV7-2	Q6DHV7;Q6DHV7-2;Q6DHV7-3	ADAL_HUMAN	ADAL	Adenosine deaminase-like protein
Q6DKI1	Q6DKI1;R4GMU7	RL7L_HUMAN	RPL7L1	60S ribosomal protein L7-like 1
Q6DKJ4	Q6DKJ4;Q6DKJ4-3;A0A0C4DGI2;I3L4V6	NXN_HUMAN	NXN	Nucleoredoxin
Q6DKK2	Q6DKK2;K7EJA1	TTC19_HUMAN	TTC19	Tetratricopeptide repeat protein 19, mitochondrial
Q6DN90;Q6DN90-2;Q6DN90-3	Q6DN90;Q6DN90-2;A0A2R8Y695;A0A2R8Y7T6;A0A3B3IRZ4;Q6DN90-3;A0A0C4DGT3;A0A3B3IU98	IQEC1_HUMAN	IQSEC1	IQ motif and SEC7 domain-containing protein 1
Q6DT37	Q6DT37	MRCKG_HUMAN	CDC42BPG	Serine/threonine-protein kinase MRCK gamma
Q6E0U4-16	CON_A3EZ82;Q6E0U4;Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7	DMKN_HUMAN	DMKN	Isoform 16 of Dermokine
Q6EEV4-2	Q6EEV4;Q6EEV4-2	GL1AD_HUMAN	POLR2M	Isoform 5 of DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5
Q6EKJ0;Q86UP8	Q6EKJ0;Q86UP8;Q86UP8-2;Q86UP8-3;Q86UP8-4;Q86UP8-5;A0A087WW90;A0A0D9SF80;A0A494C0I1;A0A494C1N8;Q6EKJ0-2	GTD2A_HUMAN;GTD2B_HUMAN	GTF2IRD2;GTF2IRD2B	General transcription factor II-I repeat domain-containing protein 2B
Q6EMB2	Q6EMB2;G3V2J9	TTLL5_HUMAN	TTLL5	Tubulin polyglutamylase TTLL5
Q6EMB2;Q6EMB2-2	Q6EMB2;G3V2J9;Q6EMB2-2;G3V4R8	TTLL5_HUMAN	TTLL5	Tubulin polyglutamylase TTLL5
Q6EMK4	Q6EMK4	VASN_HUMAN	VASN	Vasorin
Q6FHJ7	Q6FHJ7	SFRP4_HUMAN	SFRP4	Secreted frizzled-related protein 4
Q6FI81	Q6FI81;H3BPG7;H3BQ23;H3BT65;H3BV90;Q6FI81-3;H3BUG4	CPIN1_HUMAN	CIAPIN1	Anamorsin
Q6FIF0;Q6FIF0-2	Q6FIF0;Q6FIF0-2;H3BM82	ZFAN6_HUMAN	ZFAND6	AN1-type zinc finger protein 6
Q6GMV2	Q6GMV2;C9IYN9	SMYD5_HUMAN	SMYD5	Histone-lysine N-trimethyltransferase SMYD5
Q6GMV3	Q6GMV3	PTRD1_HUMAN	PTRHD1	Putative peptidyl-tRNA hydrolase PTRHD1
Q6GPH4	Q6GPH4;Q6GPH4-2;Q6GPH4-6;Q6GPH4-7	XAF1_HUMAN	XAF1	XIAP-associated factor 1
Q6GPI1	Q6GPI1;A0A2R8YCR2;H3BMY1	CTRB2_HUMAN	CTRB2	Chymotrypsinogen B2
Q6GQQ9-2	Q6GQQ9;Q6GQQ9-2	OTU7B_HUMAN	OTUD7B	Isoform 2 of OTU domain-containing protein 7B
Q6GQQ9-2;Q8TE49;Q8TE49-2	Q6GQQ9;Q6GQQ9-2;Q8TE49;Q5SZ59;Q8TE49-2;H0YMI7;H0YN66	OTU7A_HUMAN;OTU7B_HUMAN	OTUD7A;OTUD7B	Isoform 2 of OTU domain-containing protein 7B
Q6GTX8;Q6GTX8-2;Q6GTX8-3	Q6GTX8;D3YTC8;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;A0A0G2JLV7;A0A0G2JM94;A0A0G2JMI0;A0A0G2JNK8;A0A0G2JNU6;A0A0G2JP18;A0A0G2JQ50;A0A140T8W3;A8MZ84;F8WC07	LAIR1_HUMAN	LAIR1	Leukocyte-associated immunoglobulin-like receptor 1
Q6GTX8;Q6GTX8-2;Q6GTX8-3;Q6ISS4;Q6ISS4-2	Q6GTX8;Q6ISS4;D3YTC8;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;A0A087X1V4;A0A0G2JLQ0;A0A0G2JLV7;A0A0G2JM94;A0A0G2JMB1;A0A0G2JMC3;A0A0G2JMI0;A0A0G2JN10;A0A0G2JNK8;A0A0G2JNU6;A0A0G2JP18;A0A0G2JPH6;A0A0G2JQ50;A0A140T8W3;A8MZ84;C9IZB2;C9JFQ0;F8WC07;Q6ISS4-2;W4VSQ5	LAIR1_HUMAN;LAIR2_HUMAN	LAIR1;LAIR2	Leukocyte-associated immunoglobulin-like receptor 1
Q6GYQ0;Q6GYQ0-2;Q6GYQ0-3;Q6GYQ0-5;Q6GYQ0-7	Q6GYQ0;Q6GYQ0-2;Q6GYQ0-3;Q6GYQ0-4;Q6GYQ0-5;Q6GYQ0-6;Q6GYQ0-7;A0A1B0GUI1;A0A7P0TAR5;H0YJB5	RGPA1_HUMAN	RALGAPA1	Ral GTPase-activating protein subunit alpha-1
Q6GYQ0;Q6GYQ0-2;Q6GYQ0-5;Q6GYQ0-7	Q6GYQ0;Q6GYQ0-2;Q6GYQ0-4;Q6GYQ0-5;Q6GYQ0-6;Q6GYQ0-7;A0A1B0GUI1;A0A7P0TAR5;H0YJB5	RGPA1_HUMAN	RALGAPA1	Ral GTPase-activating protein subunit alpha-1
Q6H8Q1;Q6H8Q1-2;Q6H8Q1-3;Q6H8Q1-5;Q6H8Q1-6;Q6H8Q1-7;Q6H8Q1-8;Q6H8Q1-9	Q6H8Q1;Q6H8Q1-8;Q6H8Q1-2;Q6H8Q1-3;Q6H8Q1-5;Q6H8Q1-6;Q6H8Q1-7;Q6H8Q1-9;A0A7I2V5G9;F5GYR0	ABLM2_HUMAN	ABLIM2	Actin-binding LIM protein 2
Q6I9Y2	Q6I9Y2	THOC7_HUMAN	THOC7	THO complex subunit 7 homolog
Q6IA17	Q6IA17;C9JFX4;E9PLG6;Q6IA17-2	SIGIR_HUMAN	SIGIRR	Single Ig IL-1-related receptor
Q6IA69	Q6IA69;Q6IA69-2	NADE_HUMAN	NADSYN1	Glutamine-dependent NAD(+) synthetase
Q6IA86;Q6IA86-3;Q6IA86-6	Q6IA86;Q6IA86-2;Q6IA86-3;Q6IA86-5;Q6IA86-6;Q6IA86-7	ELP2_HUMAN	ELP2	Elongator complex protein 2
Q6IAA8	Q6IAA8;F5GX19;F5H3Y3;F5H479;H0YFI1	LTOR1_HUMAN	LAMTOR1	Ragulator complex protein LAMTOR1
Q6IAN0	Q6IAN0;A0A0C4DGQ8	DRS7B_HUMAN	DHRS7B	Dehydrogenase/reductase SDR family member 7B
Q6IBS0	Q6IBS0;A0A7I2V2U8;A0A7I2V5D3;D6RG15	TWF2_HUMAN	TWF2	Twinfilin-2
Q6IBS0;Q9NR96-4	Q6IBS0;H0Y858;Q9NR96-4;A0A7I2V2U8;A0A7I2V5B1;A0A7I2V5D3;H7C5I2	TLR9_HUMAN;TWF2_HUMAN	TLR9;TWF2	Twinfilin-2
Q6IBW4;Q6IBW4-4	Q6IBW4;Q6IBW4-4;A0A0A6YYG7;Q6IBW4-2;H0YC55	CNDH2_HUMAN	NCAPH2	Condensin-2 complex subunit H2
Q6ICB0	Q6ICB0	DESI1_HUMAN	DESI1	Desumoylating isopeptidase 1
Q6ICG6	Q6ICG6;Q6ICG6-3;B0QY16;Q6ICG6-2	K0930_HUMAN	KIAA0930	Uncharacterized protein KIAA0930
Q6ICL3	Q6ICL3;Q6ICL3-2;Q6ICL3-3;Q6ICL3-4;Q6ICL3-5;A0A0A0MSI5	TNG2_HUMAN	TANGO2	Transport and Golgi organization protein 2 homolog
Q6IN85	Q6IN85;Q6IN85-2;Q6IN85-4;G3V5Z3	P4R3A_HUMAN	PPP4R3A	Serine/threonine-protein phosphatase 4 regulatory subunit 3A
Q6IPR3	Q6IPR3	TYW3_HUMAN	TYW3	tRNA wybutosine-synthesizing protein 3 homolog
Q6IPR3;Q6IPR3-2	Q6IPR3;Q6IPR3-2;V9GY40;V9GZ67	TYW3_HUMAN	TYW3	tRNA wybutosine-synthesizing protein 3 homolog
Q6IQ22	Q6IQ22;A0A3B3ITT1	RAB12_HUMAN	RAB12	Ras-related protein Rab-12
Q6IQ23;Q6IQ23-2	Q6IQ23;Q6IQ23-2;E9PKC0;A0A8V8TMS3	PKHA7_HUMAN	PLEKHA7	Pleckstrin homology domain-containing family A member 7
Q6IQ49;Q6IQ49-2	Q6IQ49;Q6IQ49-2;Q6IQ49-3	SDE2_HUMAN	SDE2	Splicing regulator SDE2
Q6ISB3	Q6ISB3;Q6ISB3-2	GRHL2_HUMAN	GRHL2	Grainyhead-like protein 2 homolog
Q6JBY9	Q6JBY9;B7ZKW8;Q6JBY9-2	CPZIP_HUMAN	RCSD1	CapZ-interacting protein
Q6KB66;Q6KB66-2	CON_Q6KB66-1;Q6KB66;Q6KB66-2;Q6KB66-3	K2C80_HUMAN	KRT80	Keratin, type II cytoskeletal 80
Q6KC79;Q6KC79-2	Q6KC79;A0A590UJS4;Q6KC79-2;Q6KC79-3	NIPBL_HUMAN	NIPBL	Nipped-B-like protein
Q6L8Q7	Q6L8Q7;Q6L8Q7-2;F6T1Q0	PDE12_HUMAN	PDE12	2',5'-phosphodiesterase 12
Q6L9W6	Q6L9W6;E9PHD9	B4GN3_HUMAN	B4GALNT3	Beta-1,4-N-acetylgalactosaminyltransferase 3
Q6MZM0	Q6MZM0	HPHL1_HUMAN	HEPHL1	Ferroxidase HEPHL1
Q6MZM9	Q6MZM9	PRR27_HUMAN	PRR27	Proline-rich protein 27
Q6MZP7;Q6MZP7-3	Q6MZP7;Q6MZP7-2;Q6MZP7-3;Q6MZP7-4	LIN54_HUMAN	LIN54	Protein lin-54 homolog
Q6MZW2	Q6MZW2;Q6MZW2-2;Q6MZW2-3	FSTL4_HUMAN	FSTL4	Follistatin-related protein 4
Q6MZW2;Q8N475;Q8N475-2;Q8N475-3	Q6MZW2;Q8N475;Q6MZW2-2;Q6MZW2-3;Q8N475-2;Q8N475-3	FSTL4_HUMAN;FSTL5_HUMAN	FSTL4;FSTL5	Follistatin-related protein 4
Q6MZZ7	Q6MZZ7;Q6MZZ7-2	CAN13_HUMAN	CAPN13	Calpain-13
Q6N022	Q6N022	TEN4_HUMAN	TENM4	Teneurin-4
